Rank,Entita,Entita_Originale,Entita_Principale,Confidenza_Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d,Discover_Score
86,belve,belve,belve,0.0,0.0,0.0,0.0,0.11952282425569376
87,pianese - pontedera,pianese - pontedera,pianese - pontedera,0.0,0.0,0.0,0.0,0.11935793571673116
88,carlo ancelotti,carlo ancelotti,carlo ancelotti,0.0,0.0,0.0,0.0,0.11919537779826668
89,e poi si vede,e poi si vede,e poi si vede,0.0,0.0,0.0,0.0,0.11903509104335824
90,lurago marinone,lurago marinone,lurago marinone,0.0,0.0,0.0,0.0,0.11887701816768416
91,bodrum - fenerbahçe,bodrum - fenerbahçe,bodrum - fenerbahçe,0.0,0.0,0.0,0.0,0.11872110395680456
92,djuric,djuric,djuric,0.0,0.0,0.0,0.0,0.11856729516935871
93,santa rosa,santa rosa,santa rosa,0.0,0.0,0.0,0.0,0.11841554044579458
94,programmi tv stasera prima serata,programmi tv stasera prima serata,programmi tv stasera prima serata,0.0,0.0,0.0,0.0,0.11826579022225828
95,aspromonte,aspromonte,aspromonte,0.0,0.0,0.0,0.0,0.11811799664929994
96,ibrahimovic,ibrahimovic,ibrahimovic,0.0,0.0,0.0,0.0,0.11797211351507844
97,tradimento,tradimento,tradimento,0.0,0.0,0.0,0.0,0.11782809617277233
98,tuscia,tuscia,tuscia,0.0,0.0,0.0,0.0,0.11768590147192458
99,latte crudo,latte crudo,latte crudo,0.0,0.0,0.0,0.0,0.117545487693471
100,bucks - knicks,bucks - knicks,bucks - knicks,0.0,0.0,0.0,0.0,0.1174068144882187
101,sex and the city,sex and the city,sex and the city,0.0,0.0,0.0,0.0,0.11726984281855898
102,pierpaolo uomini e donne,pierpaolo uomini e donne,pierpaolo uomini e donne,0.0,0.0,0.0,0.0,0.11713453490321421
103,mission impossible,mission impossible,mission impossible,0.0,0.0,0.0,0.0,0.11700085416483254
104,liam neeson,liam neeson,liam neeson,0.0,0.0,0.0,0.0,0.11686876518025725
105,allegri roma,allegri roma,allegri roma,0.0,0.0,0.0,0.0,0.11673823363331018
106,denzel washington,denzel washington,denzel washington,0.0,0.0,0.0,0.0,0.11660922626993882
107,xai,xai,xai,0.0,0.0,0.0,0.0,0.11648171085558807
108,vanuatu,vanuatu,vanuatu,0.0,0.0,0.0,0.0,0.11635565613466622
109,joël dicker,joël dicker,joël dicker,0.0,0.0,0.0,0.0,0.1162310317919839
110,luciano darderi,luciano darderi,luciano darderi,0.0,0.0,0.0,0.0,0.11610780841605253
