Rank,Entita,Score_Avg_now 1-H,Score_Avg_now 4-H,Score_Avg_now 7-d,Discover_Score
6,don samuele marelli,2.836206896551724,0.4054621848739496,0.3531980839673147,0.9037725969490659
11,kristi noem,0.5431034482758621,0.8382352941176471,0.38259016624401243,0.8937259114144707
7,evelina sgarbi,0.8620689655172413,0.3697478991596639,0.33828191039729505,0.8213887119794485
49,alberto fantin,0.0,1.0126050420168067,1.0758664412510566,0.7894819327448842
39,conferenza stampa tudor,0.13793103448275862,0.2184873949579832,1.6406029867568328,0.7750566038492482
30,carlo cracco,0.0,0.5756302521008403,1.0425119752042828,0.7624204958846543
38,playstation plus giochi mensili,0.0,0.615546218487395,0.9548816568047337,0.701619932616023
20,mare fuori sesta stagione,0.6293103448275862,0.39285714285714285,0.6359537897999437,0.6663806801089479
34,minority report,2.4913793103448274,0.15126050420168066,1.2137926176387714,0.665210010647925
24,oliver kragl,0.0,0.09663865546218488,0.9610101437024514,0.6392445409878116
29,dazi trump auto,0.0,0.31512605042016806,0.806230628346013,0.6237087827374135
43,lol 5 cast,0.0,0.25210084033613445,0.8421210200056354,0.5534135608773261
44,luciano darderi,0.0,0.15546218487394958,0.8872217526063679,0.5366075776272894
16,sigfrido ranucci,0.0,0.1323529411764706,0.3377888137503522,0.518895535350709
23,anticipazioni amici serale 29 marzo,1.7241379310344827,0.28991596638655465,0.3146837137221753,0.5049000947643018
50,tomodachi life,0.0,0.5672268907563025,0.22249225133840517,0.45518782094480315
36,paolini-sabalenka,0.8620689655172413,0.31932773109243695,0.1156839954916878,0.3974091245772147
32,tonali milan,0.8620689655172413,0.06092436974789916,0.23464356156663851,0.37053199758308536
42,ascolti tv dati auditel,0.0,0.04411764705882353,0.09490349394195549,0.3028344958961974
51,franco alfieri,0.0,0.0,0.0,0.2530848692773169
52,macron,0.0,0.0,0.0,0.2518706487516997
53,elisa di francisca,0.0,0.0,0.0,0.2506903984389969
54,hanoi,0.0,0.0,0.0,0.24954251462921184
55,film garrone io capitano trama,0.0,0.0,0.0,0.24842549839846914
56,favignana,0.0,0.0,0.0,0.2473379469500514
57,massimo ghirotto,0.0,0.0,0.0,0.24627854581449443
58,oroscopo paolo fox scorpione,0.0,0.0,0.0,0.2452460618098304
59,liposuzione,0.0,0.0,0.0,0.2442393366759723
60,matteo lancini,0.0,0.0,0.0,0.24325728130826463
61,sucic,0.0,0.0,0.0,0.2422988705246811
62,linkem,0.0,0.0,0.0,0.24136313830927508
63,grigor dimitrov,0.0,0.0,0.0,0.24044917348149392
64,ariston russia putin,0.0,0.0,0.0,0.23955611574701857
65,guardiola,0.0,0.0,0.0,0.23868315209103041
66,peppe quintale,0.0,0.0,0.0,0.23782951347935782
67,ormea,0.0,0.0,0.0,0.23699447183691388
68,buon giovedi 27 marzo,0.0,0.0,0.0,0.23617733727628992
69,meteo roma,0.0,0.0,0.0,0.23537745555238682
70,nintendo today,0.0,0.0,0.0,0.23459420572161058
71,gerard depardieu,0.0,0.0,0.0,0.23382699798647663
72,giulianova barletta,0.0,0.0,0.0,0.23307527170850925
73,ettore andenna,0.0,0.0,0.0,0.23233849357411743
74,nuggets - bucks,0.0,0.0,0.0,0.23161615589971676
75,dimitrov,0.0,0.0,0.0,0.23090777506376875
76,virginia raffaele,0.0,0.0,0.0,0.2302128900546512
77,aniket verma,0.0,0.0,0.0,0.22953106112437666
78,stellantis azioni,0.0,0.0,0.0,0.22886186853915486
79,rovigo,0.0,0.0,0.0,0.2282049114186687
80,viviana stucchi,0.0,0.0,0.0,0.22755980665670933
81,senegal,0.0,0.0,0.0,0.2269261879165124
82,djokovic,0.0,0.0,0.0,0.22630370469475658
